,name,rating,card_type,position,nation,league,team,PAC,SHO,PAS,DRI,DEF,PHY
8146,Luca Sosa,69,conmebol-sudamericana,CB,Argentina,CONMEBOL Libertadores,Barcelona SC,69,37,56,58,68,75
8147,Romain Métanire,69,common,RB,Madagascar,Major League Soccer,Minnesota United,74,35,64,66,65,75
8148,Jesper Verlaat,69,rare,CB,Netherlands,3. Liga,1860 München,53,26,47,55,68,77
8149,Jordi Calavera,69,common,RB,Spain,LaLiga SmartBank,CD Lugo,80,55,61,65,63,77
8150,Ben Wilmot,69,common,CB,England,EFL Championship,Stoke City,55,37,53,60,71,70
8151,Anderson Arroyo,69,common,CB,Colombia,LaLiga SmartBank,D. Alavés,70,29,56,60,69,71
8152,Jérémy Gélin,69,rare,CB,France,Ligue 2 BKT,Amiens SC,45,36,66,61,70,65
8153,Abdallah Ndour,69,common,LB,Senegal,Ligue 2 BKT,FCSM,72,32,63,67,67,69
8154,Gianluca Ferrari,69,rare,CB,Argentina,Liga Profesional de Fútbol,Godoy Cruz,73,40,56,61,67,74
8155,Lorenz Assignon,69,common,RB,France,Ligue 1 Uber Eats,Stade Rennais FC,75,42,60,69,64,61
8156,Vegar Eggen Hedenstad,69,common,RB,Norway,Eliteserien,Vålerenga Fotball,75,54,64,67,61,70
8157,Gustavo Velázquez,69,rare,CB,Paraguay,CONMEBOL Sudamericana,Newell's,74,31,47,54,69,75
8158,Luciano Gómez,69,common,RB,Argentina,CONMEBOL Libertadores,Argentinos Jrs.,79,60,63,71,63,65
8159,Nuno Reis,69,common,CB,Portugal,A-League,Melbourne City,58,48,62,61,68,77
8160,Steve Birnbaum,69,rare,CB,United States,Major League Soccer,D.C. United,34,31,45,51,68,85
8161,Pep Chavarría,69,rare,LB,Spain,LaLiga Santander,Rayo Vallecano,83,48,62,67,62,74
8162,Fran Karačić,69,common,RB,Australia,Calcio B,Brescia,81,46,62,66,62,74
8163,Umut Meraş,69,common,LB,Turkey,Süper Lig,Beşiktaş,74,42,60,65,65,73
8164,Ignasi Miquel,69,common,CB,Spain,LaLiga SmartBank,Granada CF,56,35,55,59,69,71
8165,Sei Muroya,69,rare,RB,Japan,Bundesliga 2,Hannover 96,88,57,58,68,60,70
8166,Yordi Vílchez,69,conmebol-libertadores,CB,Peru,CONMEBOL Libertadores,Alianza Lima,59,25,50,45,71,64
8167,Djevencio van der Kust,69,rare,LWB,Netherlands,Eredivisie,FC Utrecht,87,40,54,66,61,59
8168,Marco Thiede,69,common,RB,Germany,Bundesliga 2,Karlsruher SC,70,48,66,68,63,65
8169,Rodri Tarín,69,rare,CB,Spain,LaLiga SmartBank,R. Oviedo,77,37,50,60,68,73
8170,Keegan Rosenberry,69,common,CB,United States,Major League Soccer,Colorado Rapids,68,51,62,66,68,74
8171,Yuri Ribeiro,69,common,LB,Portugal,PKO Bank Polski Ekstraklasa,Legia Warszawa,76,51,67,69,65,65
8172,Dario Dumić,69,common,CB,Bosnia Herzegovina,Bundesliga 2,SV Sandhausen,46,49,55,46,68,74
8173,Julian Korb,69,common,RWB,Germany,Bundesliga 2,Holstein Kiel,69,51,66,69,62,62
8174,Germán Lanaro,69,conmebol-libertadores,CB,Argentina,CONMEBOL Libertadores,Uni. Católica,33,34,49,47,67,75
8175,Chiedozie Ogbene,69,rare,RWB,Republic of Ireland,EFL Championship,Rotherham Utd,91,58,62,70,56,73
8176,Andrew Farrell,69,rare,CB,United States,Major League Soccer,New England,75,48,64,66,68,78
8177,Nikolas Dyhr,69,common,LWB,Denmark,3F Superliga,FC Midtjylland,81,55,62,67,62,67
8178,Thomas Isherwood,69,rare,CB,Sweden,Bundesliga 2,SV Darmstadt 98,55,33,45,45,68,84
8179,Matteo Ruggeri,69,rare,LWB,Italy,Serie A TIM,Bergamo Calcio,61,49,63,66,67,63
8180,Kevin Wimmer,69,common,CB,Austria,Österreichische Fußball-Bundesliga,SK Rapid Wien,50,27,57,63,68,75
8181,Mads Juel Andersen,69,common,CB,Denmark,EFL League One,Barnsley,47,34,45,50,69,77
8182,Víctor Cabrera,69,common,CB,Argentina,CONMEBOL Libertadores,Tigre,66,39,57,59,69,72
8183,Alex Bangura,69,rare,LB,Sierra Leone,Eredivisie,SC Cambuur,94,30,51,64,61,78
8184,Maximilian Hofmann,69,common,CB,Austria,Österreichische Fußball-Bundesliga,SK Rapid Wien,61,39,51,51,68,76
8185,Stephen Welsh,69,common,CB,Scotland,cinch Premiership,Celtic,68,28,54,62,69,73
8186,DeAndre Yedlin,69,rare,RB,United States,Major League Soccer,Inter Miami CF,90,51,56,65,64,70
8187,Benedikt Saller,69,common,RB,Germany,Bundesliga 2,Regensburg,75,53,65,66,64,66
8188,Jonas Bager,69,rare,CB,Denmark,1A Pro League,Sp. Charleroi,72,31,49,56,69,75
8189,Luis Binks,69,rare,CB,England,,,59,29,49,53,67,80
8190,Montero,69,common,CB,Spain,Süper Lig,Beşiktaş,65,29,52,60,71,67
8191,Christian Vilches,69,conmebol-sudamericana,CB,Chile,CONMEBOL Sudamericana,Unión La Calera,33,40,49,52,69,71
8192,Toti Gomes,69,rare,CB,Portugal,Premier League,Wolves,76,47,60,61,69,72
8193,Franklin Guerra,69,conmebol-sudamericana,CB,Ecuador,CONMEBOL Sudamericana,LDU Quito,63,43,51,60,69,73
8194,Brecht Capon,69,rare,RWB,Belgium,1A Pro League,KV Oostende,66,69,66,65,67,69
8195,Achraf Dari,69,common,CB,Morocco,Ligue 1 Uber Eats,Stade Brestois 29,62,31,49,51,71,69
8196,Filippo Romagna,69,common,CB,Italy,Serie A TIM,Sassuolo,52,32,51,57,72,59
8197,Mourtada Fall,69,rare,CB,Senegal,,,61,36,49,45,67,81
8198,Williams Riveros,69,conmebol-libertadores,CB,Paraguay,CONMEBOL Libertadores,Cerro Porteño,63,39,50,53,69,72
8199,Maximiliano Pereira,69,conmebol-sudamericana,RB,Uruguay,CONMEBOL Sudamericana,River Plate Montevideo,48,63,69,65,74,66
8200,Antonio Barreca,69,common,LB,Italy,Calcio B,Cagliari,70,34,62,70,66,61
8201,Brian Salvareschi,69,common,CB,Argentina,,,65,28,49,53,69,74
8202,Greg Cunningham,69,common,LWB,Republic of Ireland,EFL Championship,Preston,63,54,64,68,68,72
8203,Marcos López,69,common,LB,Peru,Eredivisie,Feyenoord,79,54,63,70,64,68
8204,Sandy Walsh,69,common,RB,Netherlands,1A Pro League,KV Mechelen,65,37,62,64,68,72
8205,Marius Høibråten,69,common,CB,Norway,Eliteserien,FK Bodø/Glimt,71,33,51,61,67,79
8206,Gastón Sauro,69,common,CB,Argentina,Liga Profesional de Fútbol,Sarmiento,40,33,51,51,69,73
8207,Mark McKenzie,69,rare,CB,United States,1A Pro League,KRC Genk,77,36,48,59,71,70
8208,Mads Bech Sørensen,69,common,CB,Denmark,Ligue 1 Uber Eats,OGC Nice,53,34,53,58,69,73
8209,Fran Gámez,69,common,RB,Spain,LaLiga SmartBank,R. Zaragoza,83,51,59,64,64,72
8210,Lim Chai Min,69,common,CB,Korea Republic,Chinese Football Association Super League,Shenzhen FC,70,30,42,45,69,78
8211,Stephan Ambrosius,69,common,CB,Ghana,Bundesliga 2,Karlsruher SC,70,30,45,52,68,75
8212,Francesco Renzetti,69,common,LB,Italy,,,77,52,67,67,64,64
8213,Kristoffer Haugen,69,common,LWB,Norway,Eliteserien,Molde FK,76,60,64,64,61,71
8214,Alexandre Penetra,69,common,CB,Portugal,Liga Portugal,FC Famalicão,65,29,46,45,70,70
8215,Leonel Quiñonez,69,conmebol-sudamericana,LB,Ecuador,CONMEBOL Libertadores,Barcelona SC,75,62,68,68,65,72
8216,Marc-Francois Enoumba,69,conmebol-libertadores,CB,Bolivia,CONMEBOL Libertadores,Always Ready,81,58,58,61,68,74
8217,Pablo Vázquez,69,common,CB,Spain,LaLiga SmartBank,FC Cartagena,59,32,49,45,70,70
8218,Brian Blasi,69,rare,RB,Argentina,,,67,41,57,60,68,77
8219,Sergio Mosquera,69,conmebol-libertadores,CB,Colombia,CONMEBOL Libertadores,Deportes Tolima,53,47,42,51,70,74
8220,Kemar Lawrence,69,rare,LB,Jamaica,Major League Soccer,Minnesota United,84,47,62,65,63,75
8221,Jason Kerr,69,rare,CB,Scotland,EFL Championship,Wigan Athletic,68,49,53,59,66,81
8222,Christoph Klarer,69,common,CB,Austria,Bundesliga 2,Düsseldorf,56,36,48,49,70,70
8223,Rob Atkinson,69,common,CB,England,EFL Championship,Bristol City,54,25,48,56,69,79
8224,Scott Kennedy,69,rare,CB,Canada,Bundesliga 2,Regensburg,81,29,45,48,69,72
8225,Fedor Kudryashov,69,common,CB,Russia,Süper Lig,Antalyaspor,70,45,60,63,69,75
8226,Francisco Calvo,69,common,CB,Costa Rica,Süper Lig,Konyaspor,64,44,60,64,66,79
8227,Marco Modolo,69,rare,CB,Italy,Calcio B,Venezia,59,45,49,48,68,79
8228,Vincent Sasso,69,common,CB,France,Liga Portugal,Boavista FC,37,27,52,50,69,76
8229,Lee Ki Je,69,rare,LWB,Korea Republic,K League 1,Suwon Samsung,74,57,65,65,62,72
8230,Gilles Dewaele,69,common,RB,Belgium,1A Pro League,Standard Liège,71,61,60,57,65,70
8231,Biagio Meccariello,69,common,CB,Italy,Calcio B,Spal,64,29,48,53,69,73
8232,Ľubomír Šatka,69,common,CB,Slovakia,PKO Bank Polski Ekstraklasa,Lech Poznań,63,29,53,53,69,71
8233,Jorge Arias,69,conmebol-sudamericana,CB,Colombia,CONMEBOL Sudamericana,Junior,73,49,61,60,67,81
8234,Yulián Gómez,69,conmebol-sudamericana,LB,Colombia,CONMEBOL Sudamericana,Independiente Medellín,87,52,60,67,62,60
8235,Micky van de Ven,69,rare,CB,Netherlands,Bundesliga,VfL Wolfsburg,80,43,56,60,68,74
8236,Ruben Gabrielsen,69,rare,CB,Norway,Major League Soccer,Austin FC,68,48,46,52,68,84
8237,Taylor Harwood-Bellis,69,common,CB,England,EFL Championship,Burnley,65,36,57,59,69,69
8238,Mickaël Tirpan,69,common,RB,Belgium,Süper Lig,Kasımpaşa,75,53,63,64,66,67
8239,Lalas Abubakar,69,common,CB,Ghana,Major League Soccer,Colorado Rapids,56,32,50,50,66,79
8240,Nicolás Colazo,69,common,LB,Argentina,Liga Profesional de Fútbol,Gimnasia,73,63,70,69,62,67
8241,Bafodé Diakité,69,common,CB,France,Ligue 1 Uber Eats,LOSC Lille,65,38,55,56,69,72
8242,Nathan Thompson,69,rare,CB,England,EFL League One,Peterborough,70,38,54,62,68,80
8243,Arturo Calabresi,69,common,CB,Italy,,,56,31,60,61,68,72
8244,Paweł Olkowski,69,common,RWB,Poland,PKO Bank Polski Ekstraklasa,Górnik Zabrze,72,57,63,66,65,70
8245,Kilian Fischer,69,common,RB,Germany,Bundesliga,VfL Wolfsburg,77,38,61,65,63,69
8246,Cédric Kipré,69,rare,CB,Ivory Coast,EFL Championship,Cardiff City,68,35,49,46,67,82
8247,Patrick Burner,69,common,RB,France,Ligue 2 BKT,Nîmes Olympique,80,55,61,70,63,73
8248,Ionuț Nedelcearu,69,common,CB,Romania,,,61,46,52,57,69,78
8249,Pomares,69,rare,LB,Spain,LaLiga SmartBank,R. Oviedo,76,53,59,59,64,79
8250,Carlos Rodríguez,69,conmebol-sudamericana,CB,Uruguay,CONMEBOL Libertadores,Barcelona SC,57,38,46,50,69,77
8251,Christoph Kobald,69,common,CB,Austria,Bundesliga 2,Karlsruher SC,67,26,54,54,70,70
8252,Rúben Lima,69,common,LB,Portugal,Liga Portugal,FC Famalicão,69,56,65,68,68,67
8253,Miguel Araujo,69,common,CB,Peru,Eredivisie,FC Emmen,63,36,49,58,69,73
8254,Derrick Williams,69,common,CB,Republic of Ireland,Major League Soccer,LA Galaxy,66,46,58,63,66,78
8255,Alec Deneumostier,69,conmebol-sudamericana,CB,Peru,CONMEBOL Sudamericana,FBC Melgar,58,29,48,46,70,63
8256,Marwane Saadane,69,rare,CB,Morocco,Rest of World,Al Fateh,57,49,60,61,66,83
8257,Rene Renner,69,common,LB,Austria,LIGA BBVA MX,LASK,81,61,64,67,62,66
8258,Lachlan Jackson,69,rare,CB,Australia,K League 1,Suwon FC,53,26,40,45,70,77
8259,Maxim De Cuyper,69,rare,LB,Belgium,,,74,66,67,67,59,66
8260,Jacob Greaves,69,common,CB,England,EFL Championship,Hull City,70,31,51,57,68,75
8261,Daiki Hashioka,69,common,RWB,Japan,1A Pro League,Sint-Truiden,73,59,64,64,63,75
8262,Emanuel Olivera,69,common,CB,Argentina,CONMEBOL Libertadores,Atl. Nacional,68,43,50,55,70,73
8263,Sergio,69,common,CB,Spain,LaLiga SmartBank,CD Leganés,54,35,52,49,72,61
8264,Alessandro Zanoli,69,common,RB,Italy,,,69,36,58,65,68,67
8265,Ryan Tafazolli,69,rare,CB,England,EFL League One,Wycombe,43,28,43,46,69,79
8266,Juan David Cabal,69,rare,LB,Colombia,Serie A TIM,Hellas Verona,75,38,54,61,69,62
8267,Raphael Rossi,69,rare,CB,Brazil,PKO Bank Polski Ekstraklasa,Radomiak Radom,77,36,49,55,69,76
8268,Stefan Gartenmann,69,common,CB,Denmark,3F Superliga,FC Midtjylland,60,33,56,57,68,77
8269,Ángelo Preciado,69,rare,RB,Ecuador,1A Pro League,KRC Genk,84,59,59,69,63,62
8270,Copete,69,common,CB,Spain,LaLiga Santander,RCD Mallorca,60,33,51,54,71,69
8271,Eddie Segura,69,common,CB,Colombia,Major League Soccer,LAFC,61,30,49,57,68,74
8272,Ömer Ali Şahiner,69,common,RB,Turkey,Süper Lig,Başakşehir,74,67,66,72,62,70
8273,Danny Batth,69,rare,CB,England,EFL Championship,Sunderland,31,23,42,39,69,82
8274,Erik Wekesser,69,rare,LB,Germany,Bundesliga 2,1. FC Nürnberg,73,63,62,66,63,76
8275,Bruno Pirri,69,common,CB,Brazil,LaLiga SmartBank,CD Lugo,65,44,52,59,68,73
8276,Ismaël Boura,69,rare,LWB,France,Ligue 1 Uber Eats,RC Lens,74,47,57,72,63,65
8277,Leo Väisänen,69,rare,CB,Finland,Allsvenskan,IF Elfsborg,72,30,56,59,69,70
8278,Jake Clarke-Salter,69,common,CB,England,EFL Championship,QPR,65,33,51,49,70,73
8279,Andrew Teuten,69,conmebol-libertadores,LB,Uruguay,CONMEBOL Libertadores,Colón,73,48,65,72,64,68
8280,Curtis Good,69,common,CB,Australia,A-League,Melbourne City,57,35,56,58,69,79
8281,Dario Župarić,69,common,CB,Croatia,Major League Soccer,Portland Timbers,47,21,46,56,68,79
8282,Kim Kwang Suk,69,common,CB,Korea Republic,K League 1,Incheon United,49,42,52,54,69,69
8283,Matías Aguirregaray,69,conmebol-libertadores,RB,Uruguay,CONMEBOL Libertadores,Peñarol,67,58,66,66,67,70
8284,Abdelkader Bedrane,69,common,CB,Algeria,Rest of World,Damac FC,61,30,51,53,69,70
8285,Gabriele Angella,69,common,CB,Italy,,,33,37,48,50,72,65
8286,Miguel Ángel Paniagua,69,conmebol-sudamericana,CB,Paraguay,CONMEBOL Sudamericana,Guaireña,53,50,66,58,69,70
8287,Uğur Çiftçi,69,common,LB,Turkey,Süper Lig,Sivasspor,72,50,67,66,65,72
8288,Lucas Rodríguez,69,conmebol-sudamericana,LB,Argentina,CONMEBOL Sudamericana,Independiente,75,57,65,68,65,67
8289,Miguel Brizuela,69,conmebol-libertadores,CB,Argentina,CONMEBOL Libertadores,Vélez Sarsfield,56,37,54,54,68,78
8290,Callum Brittain,69,common,RWB,England,EFL Championship,Blackburn Rovers,80,51,60,68,64,64
8291,Luca Itter,69,common,LB,Germany,Bundesliga 2,Fürth,71,42,62,68,68,62
8292,Million Manhoef,69,common,LWB,Netherlands,Eredivisie,Vitesse,80,58,64,70,60,73
8293,Iván Pillud,69,conmebol-sudamericana,RB,Argentina,CONMEBOL Sudamericana,Racing Club,63,58,65,62,67,74
8294,Lucas Taylor,69,rare,RB,Brazil,Ukrayina Liha,Shakhtar Donetsk,83,62,62,69,63,65
8295,Park Ji Soo,69,common,CB,Korea Republic,K League 1,Sangju Sangmu,71,49,56,60,69,75
8296,Dany Rosero,69,conmebol-sudamericana,CB,Colombia,CONMEBOL Sudamericana,Junior,63,38,52,57,68,80
8297,Wes Burns,69,rare,RWB,Wales,EFL League One,Ipswich,92,63,60,69,58,65
8298,Joaquín Novillo,69,conmebol-libertadores,CB,Argentina,CONMEBOL Libertadores,Colón,64,34,44,49,69,78
8299,Henrique Gomes,69,common,LB,Portugal,Liga Portugal,Gil Vicente,66,43,54,61,68,73
8300,Varela,69,common,CB,Cape Verde Islands,,,61,44,53,59,68,78
8301,Senou Coulibaly,69,rare,CB,Mali,Ligue 2 BKT,Dijon FCO,72,40,51,53,68,77
8302,Fali Candé,69,rare,LWB,Guinea-Bissau,Ligue 2 BKT,FC Metz,84,50,60,65,63,73
8303,Johan Madrid,69,conmebol-libertadores,RB,Peru,CONMEBOL Libertadores,Sporting Cristal,74,43,58,66,66,67
8304,Tapelo Xoki,69,rare,CB,South Africa,Chinese Football Association Super League,Orlando Pirates,75,46,48,59,71,70
8305,Donovan Pines,69,rare,CB,United States,Major League Soccer,D.C. United,71,22,39,45,70,77
8306,Artur Jędrzejczyk,69,common,CB,Poland,PKO Bank Polski Ekstraklasa,Legia Warszawa,57,48,57,60,68,79
8307,Ahmed Sharahili,69,rare,CB,Saudi Arabia,Rest of World,Al Ittihad,74,29,53,59,68,78
8308,José Amo,69,common,CB,Spain,LaLiga SmartBank,SD Ponferradina,59,38,54,61,69,72
8309,Miro Muheim,69,common,LB,Switzerland,Bundesliga 2,Hamburger SV,72,57,66,66,65,67
8310,Roderick Miranda,69,rare,CB,Portugal,A-League,Melb. Victory,38,36,52,52,68,82
8311,Michael Morrison,69,common,CB,England,EFL League One,Portsmouth,41,38,44,45,69,73
8312,Raphael Framberger,69,common,RWB,Germany,Bundesliga,FC Augsburg,81,41,56,58,69,61
8313,Strahinja Pavlović,69,common,CB,Serbia,Österreichische Fußball-Bundesliga,RB Salzburg,59,43,50,61,68,75
8314,Alex Wilkinson,69,common,CB,Australia,A-League,Sydney FC,31,45,54,50,69,76
8315,Sotirios Papagiannopo...,69,common,CB,Sweden,Allsvenskan,AIK,67,39,56,60,66,78
8316,Chris Mavinga,69,rare,CB,DR Congo,Major League Soccer,Toronto FC,83,39,61,61,67,75
8317,Lasse Nielsen,69,rare,CB,Denmark,Allsvenskan,Malmö FF,68,33,53,53,67,80
8318,Aldair Gutiérrez,69,conmebol-libertadores,RB,Colombia,CONMEBOL Libertadores,Deportivo Cali,83,56,56,68,64,59
8319,Franco Ferrari,69,rare,LB,Argentina,,,83,42,61,65,64,60
8320,Lennart Czyborra,69,rare,LB,Germany,Calcio B,Genoa,88,48,60,70,61,67
8321,Alfonso Parot,69,conmebol-libertadores,LB,Chile,CONMEBOL Libertadores,Uni. Católica,70,60,64,65,66,78
8322,Risto Radunović,69,rare,LB,Montenegro,Liga I,FCSB,77,57,63,60,65,78
8323,Bernardo Vital,69,common,CB,Portugal,Liga Portugal,Estoril Praia,64,29,42,39,72,69
8324,Steven Vitória,69,rare,CB,Canada,,,34,55,54,48,69,76
8325,José Moya,69,conmebol-libertadores,CB,Colombia,CONMEBOL Libertadores,Deportes Tolima,43,33,44,46,71,68
8326,Dennis Hadžikadunić,69,common,CB,Bosnia Herzegovina,Allsvenskan,Malmö FF,65,30,47,53,69,73
8327,Luis Segovia,69,conmebol-libertadores,CB,Ecuador,CONMEBOL Libertadores,Independiente DV,71,42,54,55,68,76
8328,Adam Lundqvist,69,common,LB,Sweden,Major League Soccer,Houston Dynamo,69,52,63,63,67,61
8329,Brice Wembangomo,69,rare,LB,Norway,Eliteserien,FK Bodø/Glimt,90,47,57,70,60,72
8330,Léo Andrade,69,common,CB,Brazil,Liga Portugal,Marítimo,65,39,44,46,70,72
8331,Robin Bormuth,69,common,CB,Germany,Bundesliga 2,Kaiserslautern,69,25,40,49,70,73
8332,Tendayi Darikwa,69,rare,RWB,Zimbabwe,EFL Championship,Wigan Athletic,88,50,61,64,62,78
8333,Filip Mladenović,69,common,LB,Serbia,PKO Bank Polski Ekstraklasa,Legia Warszawa,85,63,67,67,61,61
8334,Deng Hanwen,69,common,RB,China PR,,,80,50,62,66,63,67
8335,Ertuğrul Ersoy,69,common,CB,Turkey,Süper Lig,Gaziantep,51,29,45,54,70,75
8336,Michał Pazdan,69,common,CB,Poland,PKO Bank Polski Ekstraklasa,Jagiellonia,47,44,57,55,69,71
8337,Mamadou Fofana,69,common,CB,Mali,Ligue 2 BKT,Amiens SC,64,31,54,61,69,76
8338,Andújar,69,common,CB,Spain,Chinese Football Association Super League,Tianjin JMT,55,34,48,54,69,79
8339,Jakov Medić,69,rare,CB,Croatia,Bundesliga 2,FC St. Pauli,64,48,58,59,67,80
8340,Mark van der Maarel,69,common,CB,Netherlands,Eredivisie,FC Utrecht,58,40,61,62,70,71
8341,Steven Fortes,69,rare,CB,Cape Verde Islands,Ligue 1 Uber Eats,RC Lens,36,40,53,49,69,82
8342,Santiago Bueno,69,common,CB,Uruguay,LaLiga Santander,Girona FC,50,31,46,50,69,75
8343,Isaac Sackey,69,rare,CB,Ghana,,,49,58,57,58,69,82
8344,Igoh Ogbu,69,rare,CB,Nigeria,Eliteserien,Lillestrøm SK,79,39,53,57,68,78
8345,Mads Roerslev,69,common,RWB,Denmark,Premier League,Brentford,69,45,65,66,62,68
8346,Abdu Conté,69,rare,LB,Portugal,Ligue 1 Uber Eats,ESTAC Troyes,73,46,53,67,65,76
8347,Loïc Nestor,69,common,CB,France,Ligue 2 BKT,Grenoble Foot 38,49,45,55,56,69,80
8348,Jacob Barrett Laursen,69,common,LB,Denmark,1A Pro League,Standard Liège,66,52,60,67,66,69
8349,Iván Torres,69,conmebol-libertadores,LB,Paraguay,CONMEBOL Libertadores,Olimpia,76,63,69,66,63,65
8350,Jonas Knudsen,69,rare,LB,Denmark,Allsvenskan,Malmö FF,67,45,62,60,66,76
8351,Antonio Mazzotta,69,common,LB,Italy,,,77,55,64,68,63,68
8352,Federico Gattoni,69,common,CB,Argentina,CONMEBOL Sudamericana,San Lorenzo,68,42,56,55,69,74
8353,Tiago Casasola,69,rare,RWB,Argentina,,,63,51,66,65,67,77
8354,Sam Vines,69,common,LB,United States,1A Pro League,Royal Antwerp FC,77,33,57,63,66,69
8355,Bogdan Vătăjelu,69,rare,RB,Romania,Liga I,Univ. Craiova,84,62,66,70,63,68
8356,Léo Pétrot,69,common,CB,France,Ligue 2 BKT,AS Saint-Étienne,64,32,46,54,70,71
8357,Jan Gyamerah,69,common,RB,Germany,Bundesliga 2,1. FC Nürnberg,71,44,60,68,67,67
8358,Jack Whatmough,69,rare,CB,England,EFL Championship,Wigan Athletic,64,26,48,56,68,80
8359,Jesper Daland,69,common,CB,Norway,1A Pro League,Cercle Brugge,63,40,51,56,69,72
8360,Riccardo Gagliolo,69,common,CB,Sweden,,,67,50,53,63,69,69
8361,Cristian González Tas...,69,common,CB,Uruguay,Liga Portugal,Santa Clara,66,35,55,56,70,72
8362,Aaron Herrera,69,common,RB,United States,Major League Soccer,Real Salt Lake,70,33,63,66,67,74
8363,Stefan Simič,69,common,CB,Czech Republic,Liga Hrvatska,Hajduk Split,45,27,47,56,70,70
8364,Godswill Ekpolo,69,rare,RWB,Nigeria,Allsvenskan,IFK Norrköping,77,37,57,62,65,80
8365,Veysel Sarı,69,common,CB,Turkey,Süper Lig,Antalyaspor,53,53,60,58,70,75
8366,Tomáš Petrášek,69,rare,CB,Czech Republic,PKO Bank Polski Ekstraklasa,Raków,63,45,38,50,67,79
8367,Florian Miguel,69,common,LB,France,LaLiga SmartBank,SD Huesca,70,50,61,67,66,73
8368,Aldair Salazar,69,conmebol-sudamericana,RB,Peru,CONMEBOL Sudamericana,Ayacucho,72,56,61,69,63,67
8369,Gerrit Nauber,69,common,CB,Germany,Eredivisie,Go Ahead Eagles,53,35,43,47,71,73
8370,Michael Boxall,69,rare,CB,New Zealand,Major League Soccer,Minnesota United,56,42,58,57,67,80
8371,Larrys Mabiala,69,rare,CB,DR Congo,Major League Soccer,Portland Timbers,43,44,51,50,68,82
8372,Gijs Smal,69,common,LB,Netherlands,Eredivisie,FC Twente,75,56,69,66,63,70
8373,Luciano Lollo,69,conmebol-libertadores,CB,Argentina,CONMEBOL Libertadores,Estudiantes,32,42,44,47,70,73
8374,Tobias Figueiredo,69,common,CB,Portugal,EFL Championship,Hull City,59,30,47,54,67,77
8375,Riccardo Marchizza,69,rare,LB,Italy,Serie A TIM,Sassuolo,60,30,57,64,69,66
8376,Nikola Boranijašević,69,common,RWB,Serbia,Credit Suisse Super League,FC Zürich,74,49,60,65,64,70
8377,Terence Kongolo,69,common,CB,Netherlands,Ligue 2 BKT,Havre AC,60,42,59,63,69,68
8378,Leonardo Sernicola,69,common,RB,Italy,,,58,40,60,63,67,67
8379,Peter Ankersen,69,common,RB,Denmark,3F Superliga,F.C. København,77,59,64,68,64,69
8380,Maximiliano Caire,69,conmebol-sudamericana,RB,Argentina,CONMEBOL Sudamericana,Oriente Petrolero,72,53,60,68,65,61
8381,Fabian Schleusener,68,common,ST,Germany,Bundesliga 2,Karlsruher SC,76,65,58,67,28,70
8382,Arthur Sales,68,common,ST,Brazil,Liga Portugal,Paços Ferreira,68,68,51,63,23,69
8383,Tony Watt,68,common,ST,Scotland,cinch Premiership,Dundee United,73,69,64,68,47,76
8384,Gustav Engvall,68,common,ST,Sweden,Eliteserien,Sarpsborg 08,70,67,58,69,31,71
8385,Juan Boselli,68,common,ST,Uruguay,Liga Portugal,Gil Vicente,71,68,50,71,23,58
8386,Alhaji Kamara,68,common,ST,Sierra Leone,3F Superliga,Randers FC,79,64,52,67,32,78
8387,Héber,68,common,ST,Brazil,Major League Soccer,New York City FC,65,67,55,65,32,69
8388,Pierre-Yves Hamel,68,common,ST,France,Ligue 2 BKT,Paris FC,50,69,57,64,28,62
8389,Nicolás Cordero,68,common,ST,Argentina,CONMEBOL Sudamericana,Huracán,68,70,65,67,30,68
8390,Ricardinho,68,common,LW,Portugal,Liga Portugal,Santa Clara,69,65,64,69,38,53
8391,George Pușcaș,68,common,ST,Romania,Calcio B,Genoa,66,68,53,64,36,70
8392,Andrei Cordea,68,common,RW,Romania,Liga I,FCSB,85,64,65,70,36,67
8393,Brandon Vazquez,68,common,ST,United States,Major League Soccer,FC Cincinnati,68,66,48,61,34,74
8394,Lawrence Shankland,68,common,ST,Scotland,cinch Premiership,Hearts,70,69,58,66,28,72
8395,Dickson Abiama,68,rare,ST,Nigeria,Bundesliga,Fürth,82,67,43,67,23,63
8396,Robert Mühren,68,common,ST,Netherlands,,,55,72,61,65,41,73
8397,Paulo Azzi,68,rare,LW,Brazil,,,79,66,61,70,34,64
8398,Jordan Rhodes,68,common,ST,Scotland,EFL Championship,Huddersfield,62,70,53,62,39,60
8399,Aldair Rodríguez,68,conmebol-libertadores,ST,Peru,CONMEBOL Libertadores,Alianza Lima,69,67,56,67,30,74
8400,Jorge Recalde,68,conmebol-libertadores,ST,Paraguay,CONMEBOL Libertadores,Olimpia,67,72,50,67,21,63
8401,Aurélien Scheidler,68,common,ST,France,,,51,69,51,62,31,76
8402,Wei Shihao,68,rare,ST,China PR,Chinese Football Association Super League,Guangzhou FC,86,69,65,70,35,65
8403,Manuel Wintzheimer,68,common,ST,Germany,Bundesliga 2,1. FC Nürnberg,66,68,64,67,27,68
8404,Saleh Al Shehri,68,common,ST,Saudi Arabia,Rest of World,Al Hilal,64,66,49,63,28,73
8405,Jamal Thiaré,68,rare,ST,Senegal,Ligue 2 BKT,Havre AC,86,67,56,70,22,70
8406,Moussa Sylla,68,rare,ST,France,Eredivisie,FC Utrecht,82,65,58,71,24,62
